LowTemp;HighTemp;SnowThickness
-18,7;-10,7;23
-29,3;-16,7;23
-28,5;-12,7;23
-19,5;-9,9;24
-21,6;-17,8;25
-29,5;-18;28
-33,6;-29;27
-34;-24,8;27
-26,5;-16,9;26
-20;-6,3;26
-15,2;-5,2;25
-14,9;-4,7;24
-17;-9,4;24
-14,5;-3,7;24
-6,9;-4,3;23
-5,4;-2,9;22
-7;-2,5;23
-9,4;-7;23
-15,4;-8,9;23
-17;-11,2;24
-26,5;-17;23
-26,6;-19;24
-25,5;-19,2;24
-26,7;-8,7;24
-8,7;-7,5;23
-17,9;-8,4;22
-19,8;-12,5;23
-22,5;-16,6;24
-21,3;-17,9;24
-20;-13,6;25
-14,9;-8,6;27
-18,8;-5,3;30
-14,4;-3,9;37
-17,5;-5,9;37
-24,7;-5,3;36
-11,7;-4;36
-4,1;-2;41
-6,7;-3,4;40
-6,8;-3,3;39
-9,2;-4,6;40
-18,4;-8,6;41
-16,2;-8,9;40
-21;-8,8;43
-20,2;-11;42
-20,4;-4,7;41
-13,1;-3,9;40
-22,3;-8,9;39
-31,5;-13,5;40
-29,2;-14,5;40
-35;-16,5;40
-31,9;-17,8;40
-29,8;-15;40
-17,3;-14,2;41
-28,2;-13,3;43
-23;-15;45
-20,6;-4,7;44
-17,5;-3,3;43
-5,5;-0,2;47
-0,9;0,9;48
0,1;1,5;47
-1,7;0,6;46
-4,4;-0,9;52
-10,3;-3,5;52
-25,3;-6,1;51
-16,3;-3,9;51
-25,8;-5,1;50
-5,2;4,1;50
-11,5;-1,6;49
-9;-1,2;52
-9;2,4;50
-17,5;-2,1;48
-22,3;-3,4;48
-18,9;-6,3;48
-25,5;-6;48
-26,5;-6,3;48
-27,9;-3,9;48
-26,7;-2,2;48
-5,2;-2,4;49
-2,6;1,6;54
-13;-1,2;53
-19,1;-0,8;53
-8,8;-0,2;53
-20,5;-0,3;53
-23,8;0,3;52
-3,3;1,9;55
0,3;1,2;56
0,1;2,3;54
-2,8;1,7;50
-4,7;1,1;48
-9,7;7;48
2,3;10,7;43
1,6;8,8;31
-3,9;3,6;28
0;2,7;26
0,6;3,7;26
-1,3;4,6;28
1;3,9;24
0,1;3,6;23
1,2;4,5;19
-0,5;8,6;14
0,1;7,6;10
-4,1;10,4;6
1,2;9,2;0
-3,6;7,7;0
-1,4;10,3;0
1,3;7,4;0
-5,7;5,5;0
-0,4;2,2;2
-2,4;6,1;0
-3,8;7,6;0
-7,9;8,7;0
-2,1;10,3;0
-2,9;5,8;0
-1;3,7;4
-7,1;9,8;2
-3,9;14,1;0
1;10,8;0
-2,7;7,6;0
-3;7,7;0
0,8;6,3;0
4,7;12;0
1,2;4,9;0
-0,8;8;0
-7;10,8;0
-3,4;10,4;0
-1,9;9,9;0
-6,9;10,9;0
-5,2;11,2;0
3;8,6;0
3,2;9,6;0
5,3;13;0
4;18,1;0
0,9;24,9;0
13,7;28,4;0
6,2;28,7;0
8,6;29,3;0
13,9;26,6;0
14,7;24,1;0
11,3;25,6;0
3,4;26,5;0
6,1;23,5;0
0,6;18,4;0
6,3;17,5;0
7,2;12,7;0
7,3;13,4;0
2,3;15,6;0
4,4;17,3;0
6;16;0
7;13,6;0
5,5;14,2;0
3,5;16,7;0
1,6;16,8;0
-1,5;21,2;0
3;18,1;0
7,4;13,6;0
5,1;11;0
-2,1;12,8;0
-3,8;13,7;0
-3,4;16,5;0
1,3;18,3;0
7,8;17;0
-1,7;22,8;0
6,8;18,1;0
6,8;15,6;0
6,1;17,4;0
8,8;12,1;0
2;16,7;0
-0,5;17,4;0
3,8;19,7;0
11,3;21,2;0
13,2;19,6;0
7,9;15,6;0
0,1;17,3;0
3,5;16,9;0
-0,6;21,9;0
3,2;24,5;0
12,8;21,7;0
9,8;17,2;0
9,3;16,2;0
0,8;24,2;0
8,3;26,3;0
11,9;22,7;0
11,6;17,7;0
2,3;26,5;0
13,8;29,4;0
14;27,8;0
11,1;26,6;0
15;23,1;0
7,8;25;0
9,4;23,7;0
9,9;25,7;0
16,2;24,3;0
12,7;30;0
14,6;32,2;0
16,1;29,4;0
15,1;22,8;0
15,6;21,6;0
10,7;26,3;0
13,9;24,8;0
8,7;23,5;0
9,6;22,3;0
9,5;24,4;0
15,8;25,9;0
11;19,5;0
-0,8;19,7;0
9,8;21,4;0
17,3;29,4;0
17,2;28,6;0
13,8;25,2;0
17,4;33,5;0
17,5;29,5;0
15,4;21,3;0
14,9;22;0
12,1;24,6;0
13,4;22,4;0
11,1;19,3;0
14,3;22,6;0
6,5;25,1;0
9,3;27,9;0
15,7;27;0
15,4;22,9;0
16,3;20,5;0
13,4;20;0
11,6;23,1;0
9,9;25,9;0
11,5;28,9;0
13,8;20,8;0
1,8;16,6;0
-1,2;21,7;0
1,5;15,9;0
-0,5;16,4;0
-0,8;18,7;0
-0,5;19,7;0
12,9;16,9;0
8,9;15,4;0
5,5;11,7;0
8,2;10,3;0
7,1;10,1;0
5,5;10,5;0
3,1;12;0
5,3;14;0
-1,5;14,4;0
-0,8;15,5;0
7,1;12,8;0
-0,4;9,7;0
5,7;8,4;0
4,5;12,6;0
6,1;15;0
4,4;18,5;0
-0,2;18,9;0
2,3;19,1;0
3,1;18,1;0
2,4;19;0
5,5;17;0
11,5;14,2;0
13,3;18,2;0
6,4;15,6;0
10,7;13,9;0
7,8;14,3;0
7,1;14,1;0
4,5;14,1;0
6,7;10,1;0
5,2;13,4;0
-1,5;10,2;0
5,9;10,8;0
3,6;11,1;0
5,6;11,7;0
3,5;6,8;0
-4,3;9,8;0
-5,2;11,3;0
-5,3;11,1;0
-2,6;12,6;0
-3,4;11,5;0
3,7;5,2;0
2,9;4,8;0
3,9;10,1;0
4,3;11,5;0
3,3;11,2;0
4,2;11,7;0
2,6;11,5;0
8,1;11,4;0
7,3;9,2;0
1,9;8,1;0
1,7;7,5;0
-1,5;2,5;4
0;4,1;3
-0,6;2,7;2
-1;1,1;6
-2,9;4,2;5
-5,2;4,1;4
3,6;7,2;0
3,9;6,9;0
2,5;6,1;0
-2,8;5,5;0
-4,7;2;0
-2,6;2,7;2
-1,7;3,5;0
-1,7;1,2;0
-1,9;1,7;0
-2,7;2,6;0
-0,2;6,4;0
1,7;6;0
-1,3;3,9;0
3,9;9,1;0
4;8,5;0
-2,9;4;0
-0,7;6,5;0
0,6;6,3;0
-3,4;0,6;0
-7,1;-0,3;0
-2,6;-0,2;0
-4,2;-2,1;4
-8,7;-2,9;3
-6,2;-2;5
-2,1;-1;7
-2,4;-0,7;7
-2,9;-0,6;6
-9,1;-1,8;6
-3;0,4;7
-2,8;-1,1;7
-4,9;-2,1;7
-10,8;-4;7
-16;-3,1;7
-11,3;-3,2;7
-8,8;-6,2;6
-6,2;-2,8;7
-19,3;-4,6;7
-15,9;-8,6;7
-14,3;-10,2;8
-13,1;-10;8
-16;-12,8;8
-24,9;-13;9
-25,3;-19;9
-19;-6,2;9
-8,2;-3,1;8
-9,2;-5,7;8
-16,6;-3,6;10
-14,6;-9,1;9
-16,2;-5,7;12
-6,1;-2,9;12
-11,7;-6,1;15
-7,5;-3,2;18
-8,6;-4,8;17
-25,2;-8,5;16
-24,6;-14,1;16
-20,6;-8,8;16
-22,2;-11,8;14
-20,6;-18,7;15
-20,5;-10,5;15
-15;-8,3;15
-16,4;-8,1;16
-22,4;-14,7;16
-17,8;-16,1;17
-19,1;-13,8;17
-19,5;-12,3;22
-28,1;-19,3;22
-30,8;-24,7;22
-30,8;-17,7;22
-22,2;-15,9;22
-18,9;-9,9;21
-15,9;-9,6;21
-29,6;-15,5;21
-30,9;-11,3;21
-20,7;-11,1;20
-13,3;-9,8;24
-13,5;-7,4;24
-11,1;-8,5;24
-18,9;-9,9;24
-22,7;-15,5;25
-22,4;-13,6;25
-24,7;-8,2;26
-8,2;-6;27
-8,9;-3,6;31
-9,1;0,7;32
-0,9;0,7;33
-2,7;0,1;34
-3,3;0,1;34
-6,6;-3;39
-19,4;-6,6;41
-30,4;-18,5;41
-29,9;-10,2;40
-10,2;-5;44
-5,1;-2,4;43
-4,9;-2,5;41
-6,9;-4,8;40
-13;-6,3;40
-9,6;-5,3;44
-9,5;-7,3;44
-10;0,2;45
-22,5;-3,5;45
-26,8;-13,8;45
-17,9;-4;44
-4,1;2;44
-1;2;43
-18,4;-0,6;45
-19,1;-1,4;45
-8,1;-1,1;44
-7,9;-0,8;45
-6,5;-2,2;44
-7,9;-2,5;51
-13,2;-7,9;49
-13,5;-10,3;50
-28,3;-10,3;50
-11,6;-1,6;49
-19,9;-7;50
-27,8;-15,7;48
-30,1;-12,8;49
-27,6;-11,6;51
-33,9;-16,3;51
-35,5;-19,4;51
-30,4;-17,4;51
-34,2;-19,3;51
-33,3;-18,4;50
-35,9;-19,6;51
-28,9;-13,2;50
-19,3;-12,1;54
-28,7;-12,4;53
-28,1;-13,7;55
-30,6;-14,6;53
-32,3;-16,3;53
-23,1;-9,6;53
-9,7;-0,1;54
-1,5;1,3;53
-5,5;1,2;52
-8;-2,9;52
-5,5;5,8;52
-0,9;4;51
-2,4;4,4;52
-4,7;2,6;49
-11,2;-2,2;49
-16,4;2,3;50
-3,3;5,1;50
-1,4;2;49
-0,7;1,9;51
-1;1,5;62
-7,8;0,4;60
-11,4;0,4;59
-12,9;-1,2;60
-19;1;62
-20,5;2,4;61
-18;2,1;60
-5,4;3,3;61
-3,1;1,2;60
-14,6;3,4;63
-3,2;6,7;62
1,5;5,7;59
-7,5;2,1;57
-12,5;-1,7;60
-11,5;-4,6;59
-11,6;-0,9;59
-16,6;-0,1;59
-8,5;-1,6;67
-24,7;0;66
-25;0,7;66
-14,1;4,5;65
-11,4;4,1;64
1;3,6;63
2,7;6,2;54
1,7;4,7;43
0,6;10,5;35
-1;3,9;31
-0,3;8;29
-1,7;3,8;28
-1,8;6,4;27
-1,1;5,6;24
-2,3;4,8;23
1,3;5,5;20
0,3;5,5;18
-1,6;10,1;15
-0,8;11,1;11
2,9;11,4;8
3,3;10,8;2
1,8;9,4;0
-1,2;7,6;0
-6,8;6,6;0
-2,9;8,2;0
-2,6;13,1;0
-4,6;15,8;0
-4,3;18,3;0
-3,9;20,1;0
3;13,5;0
-3,7;11,3;0
-3,2;12,7;0
-3;12,6;0
-2,7;8,5;0
-5,7;9,1;0
-2,5;7,1;0
-3,5;5,9;0
-2,8;10;0
-5,1;11,1;0
-5,5;13,7;0
-2,1;14,8;0
-3,9;18,5;0
0,2;22,6;0
-0,7;17,6;0
-3,8;20;0
7,1;18,1;0
2,4;15,7;0
1,4;14,8;0
-3;15,7;0
4,7;14,4;0
5,3;13,9;0
5,6;11,9;0
-1,8;15,1;0
2,6;16,8;0
-0,8;17,4;0
3,4;20,8;0
0,6;20,7;0
4,9;16,7;0
7,9;16,3;0
5,2;12,7;0
-3,9;16,5;0
7,9;14,6;0
6;14,3;0
6,6;14,8;0
4,9;22,6;0
10,3;23,1;0
7,3;16,6;0
7,9;17,5;0
7,1;23,6;0
0,1;15,7;0
-1,3;23,8;0
13,7;29,1;0
17,2;29,7;0
9,1;30,1;0
10,4;30,9;0
10,6;29,5;0
11;25,7;0
6,7;16,6;0
2,2;15;0
6,5;21,1;0
5,8;21,8;0
7,9;18,7;0
4,9;20,3;0
6,8;20,1;0
12,1;15;0
10,5;18,9;0
10,2;16,2;0
6,5;20,8;0
12,5;16,7;0
6,7;21,5;0
11,7;18,9;0
8,7;23,2;0
6,1;25,2;0
10,3;29,4;0
10,9;28,8;0
9,5;29,7;0
16,9;26;0
13,3;21,7;0
10,7;19,7;0
7,3;19;0
12,6;21,7;0
9,2;26,7;0
10;29,2;0
14,3;30,4;0
16,1;25,1;0
12,1;25;0
10,3;17,9;0
12;16,5;0
7,8;18,2;0
5,3;21;0
11,6;18,8;0
6,9;20,7;0
11,8;22,7;0
14,4;22,5;0
9,8;25,9;0
10,5;22,1;0
18,2;26,6;0
15;29,1;0
16;25,8;0
11,1;23,6;0
11,5;25,4;0
14,1;26;0
8,8;25,2;0
13,1;25;0
11,9;22,6;0
10,5;20,7;0
4,9;17,1;0
0,8;21,2;0
3,6;23,7;0
13,1;22;0
9,9;17,3;0
10,9;14,5;0
13,1;18;0
13,1;17,9;0
11,9;20,9;0
7,9;14,3;0
10,8;14,4;0
2,5;17,2;0
1,7;20;0
2,7;22,1;0
5,3;21,2;0
13,3;21,8;0
13,7;16,4;0
12,6;13,7;0
12,3;17,2;0
8,7;18,3;0
12,4;19,2;0
10;19,3;0
13,4;18,9;0
11,2;21,4;0
7;22,1;0
13,5;19,1;0
16,1;23,2;0
13,9;27,4;0
12,1;19,9;0
5,9;15,1;0
7,6;16,9;0
5,4;13,9;0
11;14,5;0
9,2;13,1;0
8;17,9;0
8,4;21,4;0
11,9;20,7;0
9,2;17,6;0
12,2;15,4;0
8,6;18,4;0
9,6;17,8;0
10;17;0
9,9;16,4;0
12,5;16,5;0
12,3;16,8;0
11,8;14,3;0
8,3;14,6;0
4,6;12,5;0
-0,6;14,3;0
-2,8;14,5;0
8,3;13,9;0
6,6;13,1;0
9,4;11,7;0
6,4;10,4;0
6,2;8,4;0
5,8;10,2;0
1,6;14,1;0
8,5;12,7;0
5,2;12,3;0
1;10,5;0
8,9;14,3;0
2;11,3;0
-1,9;12,2;0
-1,1;13,2;0
1,3;9,8;0
4,1;10,5;0
2,5;11,4;0
6;12,5;0
0,5;10;0
-1,1;6,7;0
1,7;7,8;0
3,9;8,2;0
3,4;4,8;0
1,7;5,5;0
-4,1;5,4;0
-1,8;8,5;0
1,9;9,8;0
0,3;7,9;0
5,7;9,5;0
3,9;9;0
3,6;6,4;0
1,3;7;0
-2,1;3,6;0
-1,3;4,5;0
4;7,2;0
4;5,6;0
4,2;5,3;0
1,5;4,2;0
2,1;7;0
3,8;8,1;0
3,2;8;0
2,7;8;0
-1,5;8,7;0
6,1;10,6;0
-2;6,6;0
1,6;6,8;0
5,3;6,8;0
5,7;6,9;0
4,8;6,9;0
-1,9;9,2;0
-5,2;3,3;0
-2,6;5,5;0
1,7;6;0
-0,8;1,9;0
1,1;3,8;0
-0,3;5,7;0
-6,7;0,9;0
-0,2;5,1;0
-4,8;5,4;0
-5,8;3;0
-5,7;4,1;0
-12,9;-3,7;0
-6,2;2,5;0
-1,8;-0,2;0
-1,7;3,3;0
2,2;5,1;0
-1,7;6,9;0
1,1;7;0
-3,3;3,2;0
-3,9;0,4;0
-9,3;-1,3;0
-1,4;6;0
-1,1;4,5;0
0,5;5,5;0
-4;0,6;0
-2,6;1,9;0
-2;1,5;0
-6,7;-1,9;2
-6,5;-0,6;3
-1,5;0,9;6
-3,5;0,5;6
-1,2;0;9
-1,6;-0,5;9
-9,1;-1,5;10
-4;0,9;9
0,4;2,3;8
0,3;2,6;5
0,8;1,8;3
-0,6;1,4;3
-0,5;1,3;6
-0,3;1,2;9
-0,7;0,6;10
-1,8;0,4;9
-2,2;-0,8;7
-1,8;1,5;10
-1,1;2,7;6
-6;2;6
0,2;3,3;6
-0,2;4,3;4
-3,7;1,2;5
-4,8;1,8;11
-2,1;1,4;8
-4,4;-2;8
-8,2;-3,8;8
-4,4;-2,1;8
-3;0,4;8
-0,8;0,4;10
-2,6;-0,1;9
-5,7;-0,8;9
-23;-5,7;11
-10,6;-2,3;12
-14,4;-4,5;12
-20,1;-8,8;13
-8,9;-2,7;15
-5,1;-2,1;15
-6,2;-2,3;28
-12,1;-6,2;26
-14,6;-9,3;25
-15,5;-6,7;25
-8,1;-5,8;27
-9,9;-5,3;26
-6,1;-4,6;26
-7,1;-5,6;25
-8;-4,6;25
-8,6;-5,2;26
-13;-6,6;27
-20,3;-7,7;28
-23,2;-12,3;28
-20,9;-10,7;28
-15;-9,2;27
-16,7;-14;27
-25,4;-16;26
-25,5;-20,5;27
-25,6;-17;26
-28,3;-18,8;26
-33;-23,4;27
-34,6;-23,2;26
-33,8;-24,2;27
-31,2;-21,5;27
-21,5;-4,8;29
-26,8;-4,1;28
-30,3;-17,5;28
-28,6;-17;28
-18,4;-4,9;28
-5,2;-3,9;29
-4,9;-3,6;30
-9,4;-3,9;31
-11,8;-4,2;31
-6,8;-4;33
-9,6;-4,9;35
-6,8;-1;37
-4,9;-1,2;37
-6,5;-4,9;44
-8,1;-1,6;38
-9,4;1,4;40
-7,1;-0,6;43
-4,6;-1,3;45
-6,3;-4,5;44
-7,2;-4,9;44
-14,8;-5,4;45
-23;-5,2;44
-16,7;-4,4;48
-12,5;2,1;48
-6,9;5,9;48
-0,4;4,5;45
-6,2;1;44
-20,1;-0,9;44
-22,9;-0,8;44
-23,6;-3,7;44
-20,8;-3,1;43
-11,6;-2,7;44
-7,3;0,2;44
-0,2;5,7;43
-2,9;3,3;43
-0,4;4,3;43
-2,6;2,2;46
-4,2;0;43
-13,4;0,1;43
-1,2;7,8;43
-1,8;5,4;40
-5,3;3,6;38
-5,4;0,7;38
-9,1;3,6;38
-9,9;1,8;39
-4,1;7;39
-0,5;4,5;37
-4,5;3,3;35
-3,3;2,1;35
-3,9;3,5;35
0,1;3,5;33
0,6;6,2;32
-3,3;4,6;30
-5;-0,3;29
-13,2;-0,1;28
-13,1;-0,3;28
-11,4;-0,6;28
-16,1;-1;28
-13,5;3,1;28
-1,5;2,5;29
-5,1;0,5;29
-13,2;0,8;28
-16,1;3,4;29
-14,3;3,3;28
-3,8;3,6;28
-0,4;6,5;29
2,9;9,4;26
0,7;6,3;21
-0,1;4,2;19
0,1;3,3;18
-0,7;3,4;16
-0,9;2,1;15
-1,9;2,7;25
-2,2;5,1;20
-7;4,2;19
0,3;4,8;17
1,2;9;14
0;12,1;9
4,2;8,6;0
1,6;11,1;0
-2,4;9,4;0
4,3;9,1;0
5,1;14,1;0
0,9;8,9;0
-3,6;12,8;0
1,5;9;0
-0,6;10,8;0
0;7,9;0
-3,2;8,6;0
2,3;6,2;0
2,4;10,2;0
-4,3;12,4;0
-3,4;13,3;0
-1,6;15,9;0
7,2;12,1;0
7,2;10,2;0
2,9;9,4;0
-1,4;10,7;0
-3;13,2;0
8,1;14,3;0
0,9;18,9;0
7,8;19,5;0
6,6;16,3;0
5,5;15,3;0
3,6;15,1;0
4,9;13,6;0
-2,1;14,9;0
1,1;17,1;0
-0,2;19,6;0
0,7;23,5;0
5,9;17;0
2,2;22,4;0
8,3;19,9;0
2,4;10,7;0
3;11;0
-4,3;11,6;0
0,5;9,6;0
4,6;12,4;0
8,6;13,2;0
6,6;13,4;0
7,4;12,1;0
1,4;16,1;0
1,1;15,5;0
5,2;16,4;0
-1;15,2;0
6,9;17,7;0
7;17,9;0
8,2;19,5;0
4,7;18,1;0
2,6;22,3;0
7,4;18,6;0
1,5;22,4;0
11,8;21,3;0
8,9;20,3;0
7,9;19,2;0
11;16,6;0
7,4;16,3;0
6,6;16,9;0
1,7;19,6;0
5,4;17,7;0
10;17,9;0
10;17,3;0
7,8;14,5;0
6,3;12,7;0
0,6;18,3;0
10,2;16,5;0
10,3;22;0
12,9;21;0
11,5;19,8;0
3,9;21,4;0
5,8;24,5;0
7,7;26,8;0
11,1;25,1;0
16,8;21,9;0
16,5;20,4;0
12;19,1;0
13,1;20,7;0
11,5;21,5;0
14,1;21,6;0
11,9;20,1;0
9,5;22,5;0
11;22,5;0
9,7;18,8;0
6,7;21,8;0
11,6;17,6;0
11,6;16;0
8,4;15,4;0
6;17,6;0
7;19,5;0
11,2;23;0
11,8;21,2;0
12,2;19,9;0
4,2;21;0
5,2;25,3;0
11,9;28,5;0
11,2;28,9;0
14,1;23,4;0
9,4;19;0
6,3;19,9;0
13,6;17,5;0
14,9;18;0
12,4;18,9;0
13,2;21,7;0
10;19;0
8,6;13,2;0
5,3;12,6;0
7,4;15,6;0
3,5;18,7;0
12,4;18,7;0
6,4;23;0
5,4;23,2;0
6,3;24,3;0
7,8;25;0
6,4;24,3;0
6,4;23,8;0
10,8;16,9;0
1;15,9;0
-0,2;17,6;0
9,7;16,5;0
5,3;15,9;0
9,5;14,4;0
3,6;18,4;0
4,2;18,9;0
11,2;19,2;0
5,5;19,9;0
11,4;17,2;0
9,6;17,8;0
8;16,9;0
9,2;15,5;0
7,5;12,6;0
10,3;16,7;0
0,9;17,4;0
9,3;17;0
6,8;13,2;0
4,6;11,4;0
1,1;10,7;0
-1,3;12,2;0
-2,9;13,7;0
10,4;15,9;0
11,4;17,9;0
3,5;14,6;0
3,8;12,1;0
9,5;14,2;0
3,3;18,1;0
8,6;13,4;0
7,2;14,8;0
8,6;14,5;0
6,5;12,3;0
3,5;10,8;0
1,1;10,9;0
7,1;9,9;0
3,4;10,4;0
-1,4;8,4;0
1,7;9;0
5;13,6;0
0,3;10,6;0
-1,9;9,9;0
7,7;11,7;0
7,3;12,6;0
8,4;12,5;0
5,4;14,2;0
1,7;11,6;0
4,6;11;0
5,5;11;0
4,1;8;0
2,5;8,5;0
1,4;6,6;0
3,6;8,4;0
1,4;6,9;0
-0,2;6,5;0
2,3;5,2;0
0,5;5,6;0
-2,8;5,4;0
-3,2;7,8;0
1,5;5,2;0
3,2;7,2;0
4;8,7;0
-2,8;5,8;0
-4,1;4,1;0
-6,2;1,6;0
0,4;3,7;0
0,5;6,1;0
-2,3;1,6;0
-9,8;-1,5;4
-11,4;-2,1;2
-4,2;-2;2
-6,4;-1,8;0
-3;1,1;4
-2,5;0,1;4
-1,7;5,1;4
0,9;4,3;0
1,4;4;0
1,4;4,2;0
1,1;3,7;0
-3;2;0
-2;-0,4;0
-3,3;0,5;0
-9,1;0,7;0
-8,6;2,7;0
1;3,7;0
1,4;5;0
-3,2;3,5;0
-6,2;3,3;0
0,1;4,2;0
-2,5;2;0
0,7;4,5;0
4,4;5,9;0
1,5;4,6;0
-0,6;3,6;0
3,6;6,6;0
4,5;7,3;0
4;5,4;0
-0,2;5,4;0
0,9;3,9;0
0,3;1,5;0
-6,9;0,6;0
-9,9;-6;0
-14,8;-9;0
-12,8;-10,5;2
-11,9;-8,7;2
-21,6;-9;6
-24,1;-19,7;6
-23,4;-17,1;5
-21,4;-10;5
-21,8;-12,3;7
-21,9;-7,5;6
-7,5;-5,3;10
-7,4;-5,9;13
-10,1;-6,7;13
-8,8;-5,3;12
-8,8;-1,7;15
-7,3;-1,1;17
-7,1;-4,2;16
-9,5;-4,9;16
-10,8;-9,4;14
-10;-7,7;13
-13,6;-8,4;15
-19,8;-12,9;15
-19,6;-16,8;15
-25,5;-17,8;15
-27;-17,9;15
-26,6;-21,1;15
-22,6;-14,5;15
-19,6;-13,8;18
-19,2;-13,4;17
-13,4;-4,7;18
-8,2;-3;19
-19,4;-7,7;18
-9,4;0,5;21
-1,3;0,7;28
0,1;1;27
0;1,8;24
-2,9;0;21
-4,3;-2,2;22
-15,3;-4,2;23
-21,2;-11,2;23
-13,8;-4,7;25
-6;-4,1;26
-10,1;-1,7;26
-8,5;-3,6;29
-19,8;-5,5;29
-17,2;-7,1;29
-9,2;-5,1;28
-7,8;-5,1;28
-8,6;-6,8;28
-25,3;-7,8;27
-27,6;-21,2;27
-21,4;-8,2;27
-10;-0,8;28
-13,4;-7,6;32
-20,4;-5,7;31
-7;-4,2;31
-17;-6;29
-14,6;-6,6;30
-15,8;-7,3;30
-7,3;-4;31
-4;-2,5;33
-6;-3,2;33
-3,3;1,3;32
-2,3;1;31
-1,7;1,4;37
-4,3;0,5;35
-4,7;-3;35
-7,3;-3,9;40
-5,7;-3,5;40
-6,5;-3,4;39
-17,8;-6,2;39
-19,2;-11,1;39
-21,2;-13,4;39
-21,5;-5,9;39
-5,9;-4,1;41
-7,7;-5;44
-11,5;-5,2;44
-5,2;-0,4;44
-1,9;-0,4;44
-2,2;-1,1;45
-2,2;-0,8;44
-4,6;-0,7;44
-7,4;-2,1;45
-7,9;-3,4;45
-20,5;-4,5;45
-21,1;-2,3;45
-7,5;-1;45
-6,6;0;45
-1,3;1,3;45
-3,5;2,9;44
-1,9;5,2;43
-5,6;6,5;45
0,1;4,5;41
-12,2;0,7;41
-23,2;-7,7;40
-12,9;-6,7;40
-16,3;-6,4;40
-12,9;-3,1;40
-8,8;0,1;41
-11,4;-6,4;40
-17,5;-6,8;40
-23,1;-7,5;40
-24,6;-7,8;40
-18,4;-5,3;42
-24,9;-7,9;43
-15,3;-8,4;43
-26,8;-8,9;40
-27;-2,8;40
-26,1;-3,1;40
